Name,Country,Region,Location,Lat,Lng,Project type,Work nature,Project stage,Status,Client,General contractor/JV,General contractor,JV / parents,Concrete subcontractor,Competitor present,Value,Currency,Value band,Announced,Tender deadline,Expected concrete start,Expected completion,Concrete opportunity,Fit,Fit profile,Fit reason,Fit dimensions,Product fit,Use case,AE,SDR,Partner route,Partner contact,Source,Notice URL,Notice ID,Summary,Verified,Next action,Next action date,Recontact date,HubSpot deal
San Luis Canal subsidence/capacity works,United States,us_west,"Merced County, CA",,,Water treatment,Refurbishment / retrofit,Planning / pre-tender,New,Bureau of Reclamation,,,,,,50,USD,50-250M,,,,,Medium,Medium,Low-carbon spec-in,,,"MixAI,Cure / Signal",Slabs / pavements,lawson,reed,TBD,,NEWS,https://thebusinessjournal.com/540m-federal-investment-to-revamp-central-valley-water-infrastructure/,,$50m allocated March 2026. Concrete-lined canal works.,__NO__,,,,
North Fork Dam spillway repair,United States,us_west,"Santa Clara / San Benito counties, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,Planning / pre-tender,New,Pacheco Pass Water District,,,,,,,USD,,,,,,Small,Low,Mass-concrete civils,,,Cure / Signal,Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,"DSOD restricted (hydraulic), Poor. FEMA funding sought for interim spillway repair.",__NO__,,,,
Patterson Dam permanent improvements,United States,us_west,"Alameda County, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,PCSA / preconstruction,New,Alameda County Water District,,,,,,,USD,,,,,,Small,Low,Mass-concrete civils,,,Cure / Signal,Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,"DSOD restricted (seismic). Alternatives analysis complete, in design for permanent improvements.",__NO__,,,,
Friant-Kern Canal Middle Reach Capacity Correction Phase 2,United States,us_west,"Tulare / Kern counties, CA",,,Water treatment,Refurbishment / retrofit,PCSA / preconstruction,New,Friant Water Authority + Bureau of Reclamation + DWR,,,,,,200,USD,50-250M,,,,,Large,High,Low-carbon spec-in,,,"MixAI,Cure / Signal,Data Hub",Slabs / pavements,lawson,reed,TBD,,NEWS,https://friantwater.org/fkc-mrccp,,"$200m allocated March 2026 + $22m for design. Phase 1 built 10 MILES OF NEW CONCRETE-LINED CANAL (complete 2024, $187m). Overall selected plan: 20 MILES OF NEW PARALLEL CANALS, siphon and pump station upgrades, and RAISING 11 MILES OF EXISTING CANAL LINING. 152-mile canal, >50% of middle-reach capacity lost to subsidence.",__NO__,,,,
"CyrusOne / Ameresco data centre, NAS Lemoore",United States,us_west,"Lemoore, Kings County, CA",,,Data centre,New build,Planning / pre-tender,New,CyrusOne,,,,,,,USD,,,,,,Medium,Medium,Precast & batching supply,,,"Cure / Signal,Data Hub",Slabs / pavements,lawson,reed,TBD,,NEWS,https://www.blackridgeresearch.com/blog/latest-list-of-upcoming-data-centers-in-california-united-states-us,,100MW AI-optimised DC co-located with dedicated on-site generation. Announced Sept 2025. Verify status.,__NO__,,,,
Amazon East Gilroy data centre,United States,us_west,"Gilroy, CA",,,Data centre,New build,Planning / pre-tender,New,Amazon,,,,,,,USD,,,,,,Unknown,Medium,Precast & batching supply,,,"Cure / Signal,Data Hub",Slabs / pavements,lawson,reed,TBD,,NEWS,https://www.blackridgeresearch.com/blog/latest-list-of-upcoming-data-centers-in-california-united-states-us,,Announced. Verify status and value. Santa Clara County edge - could route either way.,__NO__,,,,
Carbon TerraVault expansion pipeline (CTV II-VII),United States,us_west,"Kern County, CA",,,Industrial / manufacturing,New build,Planning / pre-tender,New,California Resources Corporation + Brookfield,,,,,,,USD,,,,,,Large,Medium,Precast & batching supply,,,"Cure / Signal,Data Hub",Piling / foundations,lawson,reed,TBD,,NEWS,https://insideclimatenews.org/news/03072026/california-environmentalists-press-for-assessment-of-first-carbon-capture-project/,,"EPA reviewing 11 more CA projects with ~50 injection wells, approvals expected 2026-27. SEVEN hosted by CRC or a subsidiary. Plus Aera Energy Belridge field storage. Capture plants, compression facilities, wellpads. LITIGATION: environmental groups sued Kern County over CTV I review.",__NO__,,,,
CRC Elk Hills data centre campus,United States,us_west,"Elk Hills, Kern County, CA",,,Data centre,New build,Planning / pre-tender,New,California Resources Corporation,,,,,,,USD,,,,,,Large,Medium,Precast & batching supply,,,"Cure / Signal,Data Hub",Slabs / pavements,lawson,reed,TBD,,NEWS,https://www.yahoo.com/news/us/articles/locals-sue-california-county-over-120000518.html,,"600,000 sq ft proposed campus. Kern is emerging as the next California data centre fight - power, carbon storage and oil infrastructure converge. Watchlist.",__NO__,,,,
"Carbon TerraVault I, Elk Hills",United States,us_west,"Elk Hills, Kern County, CA",,,Industrial / manufacturing,New build,Complete,Disqualified,California Resources Corporation + Brookfield,,,,,,,USD,,,,,,Small,Disqualified,Precast & batching supply,,,,Piling / foundations,lawson,reed,TBD,,NEWS,https://carbonherald.com/california-launches-first-operational-carbon-storage-project/,,"DISQUALIFIED: first CO2 injection May 2026, operational. First operational CCS in California, first Class VI permits in the state. 1.5-1.6m tonnes/yr. Concrete spent.",__NO__,,,,
California High-Speed Rail Kern County railhead,United States,us_west,"Kern County, CA",,,Rail / metro,New build,Complete,Disqualified,California High-Speed Rail Authority,,,,,,,USD,,,,,,Small,Disqualified,Mass-concrete civils,,,,Slabs / pavements,lawson,reed,TBD,,NEWS,https://hsr.ca.gov/2025/11/26/news-release-california-high-speed-rail-authority-moves-closer-to-track-and-systems/,,"DISQUALIFIED: 150-acre logistics hub, track installation complete.",__NO__,,,,
Lake Isabella Dam Safety Modification,United States,us_west,"Kern County, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,Complete,Disqualified,USACE,Flatiron / Dragados / Sukut JV,,,,,241,USD,50-250M,,,,,Small,Disqualified,Mass-concrete civils,,,,Mass concrete,lawson,reed,TBD,,NEWS,https://www.sukut.com/dams-and-reservoirs/projects/lake-isabella-dam-safety-modification-project/,,"DISQUALIFIED (complete) but KEY REFERENCE PROJECT: 28ft tall labyrinth weir using 54,700 CUBIC YARDS of structural concrete, 2.5m cy excavation for new emergency spillway, buttressing and raising existing structures 16ft, 2.3m cy zoned fill. Use to size Prado.",__NO__,,,,
Pajaro River Flood Risk Management Project,United States,us_west,"Watsonville / Pajaro, Santa Cruz & Monterey counties, CA",,,Flood & coastal defence,Refurbishment / retrofit,Main works / on site,New,USACE San Francisco District + PRFMA + DWR,Granite (Reach 6),,,,,600,USD,250M+,,,,2027-10-31,Large,Medium,Mass-concrete civils,,,"Cure / Signal,Data Hub",Mass concrete,lawson,reed,TBD,,NEWS,https://lookout.co/construction-on-pajaro-river-levee-anticipated-to-begin-in-early-2026-funding-for-phase-2-still-in-limbo/story,,"Five reaches. Reach 6 awarded to Granite at ~$39m, Fall 2025 to Oct 2027 - BUT Reach 6 is earthen levee with aggregate-base road, LOW CONCRETE. The wider programme includes A FLOODWALL, or combined levee with floodwall on top, on the left bank between Lakeview Rd and College Rd - that is the part to chase. $54m secured Feb 2026. Later-phase funding uncertain; two requests denied 2025. Current levees give only 8-year protection.",__NO__,,,,
Vandenberg Space Force Base USACE construction programme,United States,us_west,"Lompoc, Santa Barbara County, CA",,,Prison / justice / defence,New build,Planning / pre-tender,New,USACE Los Angeles District / US Space Force,,,,,,,USD,,,,,,Unknown,Medium,Mass-concrete civils,,,"Cure / Signal,Data Hub",Unknown,lawson,reed,TBD,,NEWS,https://discover.govdash.com/solicitations/019d1732-94d5-70db-8fa3-ebbb244770a8--design-build-db-and-design-bid-build-dbb-construction-projects-with-water-and-wa,,USACE LA District. Special Notice March 2026: packages AWARDED 2026-2032. New water and wastewater utility infrastructure supporting a multi-year construction programme; privatised utility owner is American Water Operations & Maintenance. Plus separate launch infrastructure. NEEDS dedicated DoD award pass.,__NO__,,,,
Diablo Canyon Power Plant life extension,United States,us_west,"San Luis Obispo County, CA",,,Nuclear,Refurbishment / retrofit,Planning / pre-tender,Recontact later,PG&E,,,,,,1400,USD,250M+,,,,,Small,Low,Mass-concrete civils,,,Data Hub,Unknown,lawson,reed,TBD,,NEWS,https://www.ans.org/news/2026-04-03/article-7906/nrc-approves-diablo-canyon-license-renewal-extension/,,"NRC approved 20-year licence renewal April 2026. $1.4bn state loan. LOW CONCRETE CONTENT - life extension is largely plant systems and components, not new structures. Coastal Commission process ongoing. Watchlist only.",__NO__,,,,
Pure Water Monterey expansion,United States,us_west,"Monterey, CA",,,Water treatment,Extension,Planning / pre-tender,New,Monterey One Water / California American Water,,,,,,81,USD,50-250M,,,,,Small,Low,Low-carbon spec-in,,,"MixAI,Data Hub",Marine / water-retaining,lawson,reed,TBD,,NEWS,https://markets.financialcontent.com/lightport.lightport1/article/bizwire-2021-11-30-california-american-water-requests-california-public-utilities-commission-approval-of-recycled-water-agreement-and-related-facilities-in-monterey,,"~$81m Cal Am facilities. +2,250 AFY on top of 3,500 AFY core. Pipelines, wells, pump stations. Marginal on concrete volume.",__NO__,,,,
North Haiwee Dam replacement,United States,us_west,"Inyo County, CA",,,Dam / hydro / reservoir,Replacement,Main works / on site,New,LADWP,,,,,,,USD,,,,,,Medium,Medium,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,DSOD restricted (seismic). A NEW EARTH FILL DAM 800FT NORTH of the existing North Haiwee Dam with foundation ground improvement - REPORTEDLY IN CONSTRUCTION. Verify status.,__NO__,,,,
Tinemaha Dam Replacement Project,United States,us_west,"Inyo County, CA",,,Dam / hydro / reservoir,Replacement,Planning / pre-tender,New,LADWP,,,,,,,USD,,,,,2033-06-30,Medium,Medium,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,"DSOD restricted (seismic) since 1993. Replacement project in preliminary planning, estimated construction completion JUNE 2033.",__NO__,,,,
Sawpit Debris Basin Seismic Strengthening,United States,us_west,"Monrovia, LA County, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,PCSA / preconstruction,New,LA County Department of Public Works,,,,,,,USD,,,,,,Small,Low,Mass-concrete civils,,,"Cure / Signal,MixAI",Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,"DSOD restricted (seismic), Extremely High hazard. Seismic Strengthening Project, concept being finalised, targeted completion late 2025/early 2026 - VERIFY.",__NO__,,,,
Santa Anita Debris Basin Seismic Strengthening,United States,us_west,"Arcadia, LA County, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,PCSA / preconstruction,New,LA County Department of Public Works,,,,,,,USD,,,,,,Small,Low,Mass-concrete civils,,,"Cure / Signal,MixAI",Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,"DSOD restricted (seismic). USACE 408 permit obtained June 2022, pursuing 404 and 401.",__NO__,,,,
McCloud Dam spillway replacement,United States,us_west,"Shasta County, CA",,,Dam / hydro / reservoir,Replacement,Planning / pre-tender,New,Pacific Gas and Electric Company,,,,,,,USD,,,,,,Medium,Medium,Mass-concrete civils,,,"Cure / Signal,MixAI",Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,DSOD restricted. Analysis of alternatives to REPLACE THE SPILLWAY and increase capacity.,__NO__,,,,
Bear Gulch Dam outlet works upgrade,United States,us_west,"San Mateo County, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,Planning / pre-tender,New,California Water Service Company,,,,,,,USD,,,,,,Small,Low,Mass-concrete civils,,,Cure / Signal,Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,"DSOD restricted (seismic), Poor, Extremely High hazard. Updating the reservoir outlet; evaluating future improvements.",__NO__,,,,
Misselbeck Dam buttress,United States,us_west,"Shasta County, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,Planning / pre-tender,New,Igo-Ono Community Services District,,,,,,,USD,,,,,,Small,Low,Mass-concrete civils,,,Cure / Signal,Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,"DSOD restricted (seismic), Poor. Seeking funding for dam buttress planning and design.",__NO__,,,,
LAX Automated People Mover,United States,us_west,"Los Angeles (LAX), CA",,,Rail / metro,Unknown,Complete,Disqualified,,,,,,,3340,USD,250M+,,,,,Small,Disqualified,Mass-concrete civils,,,,Unknown,lawson,reed,TBD,,NEWS,https://labusinessjournal.com/special-reports/infrastructure-los-angeles-international-airport/,,"DISQUALIFIED: 2.25-mile elevated concrete guideway completed 2022, system opened 2026.",__NO__,,,,
Metro A Line Extension to Pomona,United States,us_west,"Pomona, CA",,,Rail / metro,Unknown,Complete,Disqualified,,,,,,,,USD,,,,,,Small,Disqualified,Mass-concrete civils,,,,Unknown,lawson,reed,TBD,,NEWS,https://www.enr.com/articles/61034-la-metro-officials-highlight-progress-plans-for-transit,,DISQUALIFIED: near-complete/opened.,__NO__,,,,
LAX/Metro Transit Center,United States,us_west,"Los Angeles, CA",,,Rail / metro,Unknown,Complete,Disqualified,,,,,,,,USD,,,,,,Small,Disqualified,Mass-concrete civils,,,,Unknown,lawson,reed,TBD,,NEWS,https://www.enr.com/articles/61034-la-metro-officials-highlight-progress-plans-for-transit,,DISQUALIFIED: opened.,__NO__,,,,
Oceanwide Plaza,United States,us_west,"Downtown Los Angeles, CA",,,Residential,Unknown,Complete,Disqualified,,,,,,,,USD,,,,,,Small,Disqualified,Mass-concrete civils,,,,Unknown,lawson,reed,TBD,,NEWS,https://www.unitedstatesrealestateinvestor.com/los-angeles-graffiti-towers-future-revealed/,,"DISQUALIFIED: stalled since developer default, ownership unresolved, no credible restart.",__NO__,,,,
Caltrain electrification,United States,us_west,"San Francisco to San Jose, CA",,,Rail / metro,Unknown,Complete,Disqualified,,,,,,,,USD,,,,,,Small,Disqualified,Mass-concrete civils,,,,Unknown,lawson,reed,TBD,,NEWS,https://hsr.ca.gov/project-overview/,,DISQUALIFIED: complete (HSR bookend project).,__NO__,,,,
Central Subway,United States,us_west,"San Francisco, CA",,,Rail / metro,Unknown,Complete,Disqualified,,,,,,,,USD,,,,,,Small,Disqualified,Mass-concrete civils,,,,Unknown,lawson,reed,TBD,,NEWS,https://www.commercialsearch.com/news/top-projects-that-will-reshape-the-san-francisco-bay-area/,,DISQUALIFIED: opened 2022.,__NO__,,,,
Salesforce Transit Center,United States,us_west,"San Francisco, CA",,,Rail / metro,Unknown,Complete,Disqualified,,,,,,,,USD,,,,,,Small,Disqualified,Mass-concrete civils,,,,Unknown,lawson,reed,TBD,,NEWS,https://www.sfcta.org/projects/portal,,"DISQUALIFIED: complete. Underground train box already built, awaiting The Portal.",__NO__,,,,
"Oakland Athletics ballpark, Howard Terminal",United States,us_west,"Oakland, CA",,,Stadium / arena / convention,Unknown,Complete,Disqualified,,,,,,,,USD,,,,,,Small,Disqualified,Mass-concrete civils,,,,Unknown,lawson,reed,TBD,,NEWS,https://www.commercialsearch.com/news/top-projects-that-will-reshape-the-san-francisco-bay-area/,,"DISQUALIFIED: dead, franchise relocated.",__NO__,,,,
Sutter East Santa Clara Care Center,United States,us_west,"Santa Clara, CA",,,Hospital / healthcare,Unknown,Complete,Disqualified,,,,,,,,USD,,,,,,Small,Disqualified,Mass-concrete civils,,,,Unknown,lawson,reed,TBD,,NEWS,https://lite.aol.com/sports/other/story/0022/20251117/9576479.htm,,DISQUALIFIED: opened Oct 2025.,__NO__,,,,
AWS Morrow County - five new data centres,United States,us_west,"Boardman, Morrow County, OR",,,Data centre,New build,Awarded - pre-start,New,Amazon Web Services,,,,,,12000,USD,250M+,,,Q3 2026,,Large,High,Precast & batching supply,,,"Cure / Signal,Data Hub,MixAI",Slabs / pavements,lawson,reed,TBD,,NEWS,https://www.techradar.com/news/aws-is-spending-billions-on-five-new-data-centers,,"~$12bn total, ~$2.37bn each (~$280m/site land and buildings). SINGLE-STOREY BUILDINGS ~20,000 SQ M (215,000 SQ FT) EACH. CONSTRUCTION SET TO BEGIN Q3 2026, hiring Q4 2026. 15-year property tax exemption worth ~$1bn from Morrow County, Port of Morrow and City of Boardman. Five near-identical buildings = enormous repetitive slab-on-grade, tight flatness tolerances, compressed schedule.",__NO__,,,,
"Amazon PDX 154, Boardman",United States,us_west,"east of Boardman Airport, Morrow County, OR",,,Data centre,New build,Awarded - pre-start,New,Amazon Web Services,,,,,,,USD,,,,,,Large,High,Precast & batching supply,,,"Cure / Signal,Data Hub",Slabs / pavements,lawson,reed,TBD,,NEWS,https://servercountry.org/policy/oregon/,,"LAND USE APPLICATION APPROVED 31 MARCH 2026, subject to conditions on stormwater, wastewater, lighting and airport impacts. FOUR data centre buildings totalling ~816,000 SQ FT, plus industrial water building, stormwater and wastewater evaporation ponds, septic drain field.",__NO__,,,,
Amazon Threemile Canyon Farms campus,United States,us_west,"Boardman, Morrow County, OR",,,Data centre,New build,Planning / pre-tender,New,Amazon Web Services,,,,,,12000,USD,250M+,,,,,Large,Medium,Precast & batching supply,,,"Cure / Signal,Data Hub",Slabs / pavements,lawson,reed,TBD,,NEWS,https://www.geekwire.com/2026/report-amazon-buys-1300-acres-near-columbia-river-that-could-become-a-giant-data-center/,,"1,300 ACRES PURCHASED MARCH 2026 FOR $37m from Threemile Canyon Farms. Potential $12bn exascale campus, UP TO 20 BUILDINGS along I-84 near Boardman Airport. Oregon's largest DC proposal. Amazon says development plans NOT FINAL.",__NO__,,,,
Bull Run Filtration Project,United States,us_west,"east Multnomah County (35320 Carpenter Lane), OR",,,Water treatment,New build,Main works / on site,New,Portland Water Bureau,,,,,,2560,USD,250M+,,,Live now,2029-09-30,Large,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Marine / water-retaining,lawson,reed,TBD,,NEWS,https://www.portland.gov/water/bullruntreatment/filtration/construction/bull-run-filtration-construction-activity,,"CLEARWELL UNDER CONSTRUCTION AS OF JULY 2026 - a large water-retaining concrete structure. 95-acre site, 135 MGD, plus raw water pipelines tunnelling under the hill from Lusted Rd. Serves ~840,000 people. 400+ CRAFTWORKERS bussed to site. Cost rose from $500m (2017) to $2.1bn (2024) to $2.56bn. Compliance deadline Sept 2029, two-year extension requested. WIFIA-funded.",__NO__,,,,
Interstate Bridge Replacement Program (IBR),United States,us_west,Portland OR / Vancouver WA (I-5 Columbia River),,,Bridge / viaduct,Replacement,Tender,New,IBR Program (ODOT + WSDOT),,,,,,7090,USD,250M+,,,,2045-12-31,Large,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub,FieldAtlas",Precast,lawson,reed,TBD,,NEWS,https://www.interstatebridge.org/CostEstimate,,"BI-STATE OR/WA - do not double-count. $7.09bn core (70th percentile YOE); $13.5-15.2bn bridge plus full 5-mile corridor, $14.4bn most likely. RFQ for Columbia River Bridges contract STARTING 2026, contractor hired 2027, CONSTRUCTION BEGINS 2028. Programme completion pushed 2034 to 2045. Coast Guard approved CONTINUOUS FIXED-SPAN design Jan 2026 (116ft clearance), saving up to $1.7bn vs a lift span. Includes light rail extension to Vancouver waterfront and demolition of existing bridges. $5.5-5.7bn committed. Costs up 58% since 2022; both governors have abandoned the full 5-mile corridor for now.",__NO__,,,,
Intel Gordon Moore Park at Ronler Acres expansion,United States,us_west,"Hillsboro, OR",,,Industrial / manufacturing,Extension,Planning / pre-tender,New,Intel,,,,,,36000,USD,250M+,,,,2028-12-31,Large,Medium,Schedule-critical vertical build,,,"Cure / Signal,Data Hub",Slabs / pavements,lawson,reed,TBD,,NEWS,https://www.hillsboro-oregon.gov/Home/Components/News/News/15533/,,"$36bn announced March 2025. Previous D1X module 3 alone cost $3bn and added 1m+ sq ft. Plans: FOURTH MODULE OF D1X, FULL REBUILD OF THE THREE-DECADE-OLD D1A FAB, additional manufacturing support buildings, plus prep at the Aloha campus. Elements to 2028. Backed by $8.5bn CHIPS Act and $260m state funding. RISK: permit applications are intentions not commitments, and Intel is under severe financial pressure having missed the AI cycle. HIGH-VALUE, MEDIUM-CONFIDENCE.",__NO__,,,,
I-205 Abernethy Bridge (Phase 1A),United States,us_west,"West Linn / Oregon City, OR",,,Bridge / viaduct,Refurbishment / retrofit,Finishing,Recontact later,ODOT,,,,,,815,USD,250M+,,,,2027-12-31,Medium,Low,Mass-concrete civils,,,Cure / Signal,Culverts / ancillary structures,lawson,reed,TBD,,NEWS,https://www.oregon.gov/odot/projects/pages/project-details.aspx?project=K22467,,"$815m programme, $672m construction. ODOT's largest project in 45+ years. Seismic upgrade - will be the first earthquake-ready interstate bridge over the Willamette in Portland. New OR 43 roundabout. MARGINAL: completing 2027 and the structure is STEEL plate and box girder. Verify remaining concrete (piers, deck, roundabout).",__NO__,,,,
Scoggins Dam Safety Modifications,United States,us_west,"Henry Hagg Lake, Washington County (25 miles W of Portland), OR",,,Dam / hydro / reservoir,Refurbishment / retrofit,Planning / pre-tender,New,Bureau of Reclamation + Clean Water Services,,,,,,450,USD,250M+,,,,,Large,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Mass concrete,lawson,reed,TBD,,NEWS,https://www.virtualpublicmeeting.com/scoggins-sod-eis,,"Bureau of Reclamation Safety of Dams (PL 95-578). ~$400-500m range per DOI testimony. Seismic driver: CASCADIA SUBDUCTION ZONE (118 miles west at closest) plus Gales Creek fault. Scope: RAISING THE DAM CREST, DOWNSTREAM SHEAR KEY, A NEW SPILLWAY, and additional berm material over the existing dam. EIS in preparation, scoping closed Feb 2024. Hagg Lake serves ~600,000 Washington County residents. Tualatin Basin Joint Project with Clean Water Services has explored a 12ft raise. Local governments repay 15% of seismic costs.",__NO__,,,,
Hyatt Dam safety modification,United States,us_west,"Jackson County, OR",,,Dam / hydro / reservoir,Refurbishment / retrofit,Planning / pre-tender,New,Bureau of Reclamation,,,,,,,USD,,,,,,Unknown,Low,Mass-concrete civils,,,"Cure / Signal,MixAI",Mass concrete,lawson,reed,TBD,,NEWS,https://www.merkley.senate.gov/wyden-merkley-safety-of-dams-bill-takes-step-forward/,,Named in Reclamation Safety of Dams legislation alongside Scoggins. NO DETAIL FOUND - needs one dedicated search.,__NO__,,,,
"Center Street Bridge Phase 1, Salem",United States,us_west,"Salem, OR",,,Bridge / viaduct,Refurbishment / retrofit,Awarded - pre-start,New,ODOT,,,,,,185,USD,50-250M,,,2026,2030-12-31,Medium,High,Mass-concrete civils,,,"Cure / Signal,Data Hub",Culverts / ancillary structures,lawson,reed,TBD,,NEWS,https://kcby.com/news/local/odot-leaders-provide-an-update-on-agency-projects-and-finances,,"Phase 1 $185m (total project now ~$470m, up from $60m estimated 2017). PHASE 1 BEGINS 2026, COMPLETES 2030. Seismic strengthening of bridge supports and east-side ramps. Best Willamette Valley target - four-year programme starting now.",__NO__,,,,
Microchip Technology Gresham modernisation,United States,us_west,"Gresham, OR",,,Industrial / manufacturing,Refurbishment / retrofit,Main works / on site,New,Microchip Technology,,,,,,162,USD,50-250M,,,,,Medium,Low,Schedule-critical vertical build,,,Cure / Signal,Slabs / pavements,lawson,reed,TBD,,NEWS,https://www.centraloregondaily.com/news/regional/intel-oregon-hillsboro-semiconductor-federal-funding/article_383e1c88-e6fe-11ee-808c-ef7f4659aca9.html,,$162m federal agreement (Jan 2024). Verify how much is new structure vs tool install.,__NO__,,,,
Lloyd Center redevelopment,United States,us_west,"Portland, OR",,,Residential,New build,Planning / pre-tender,New,,,,,,,,USD,,,,,,Unknown,Medium,Schedule-critical vertical build,,,Cure / Signal,In-situ frame,lawson,reed,TBD,,NEWS,https://www.sellingportlandhomes.com/blog/new-developments-in-portland-oregon-10-big-changes-coming-in-2026,,"LARGE-SCALE DEMOLITION BEGINS 2026. ~5,000 housing units, restored street grid, conversion of 30+ acres of hardscape. Long horizon, multi-phase. Verify developer and funding.",__NO__,,,,
Broadway Corridor (former USPS site),United States,us_west,"Portland, OR",,,Residential,New build,Planning / pre-tender,New,Prosper Portland,,,,,,,USD,,,,,,Unknown,Low,Schedule-critical vertical build,,,Cure / Signal,In-situ frame,lawson,reed,TBD,,NEWS,https://bcgroup-inc.com/oregons-commercial-construction-hotspots-2024-2025/,,"New downtown neighbourhood: offices, retail, housing. Verify phase status and funding.",__NO__,,,,
"Portland MLB ballpark, Zidell Yards / Terminal 2",United States,us_west,"Portland, OR",,,Stadium / arena / convention,New build,Planning / pre-tender,Recontact later,Portland Diamond Project,,,,,,1000,USD,250M+,,,,,Large,Low,Schedule-critical vertical build,,,Cure / Signal,In-situ frame,lawson,reed,TBD,,NEWS,https://constructionreviewonline.com/major-stadium-construction-projects-in-the-usa/,,"~$1bn stadium + ~$1bn land. SB 110 (June 2025) authorised $800m public bonds against future player/staff income taxes. Populous design, 32,000-34,000 seats, retractable roof. ENTIRELY CONTINGENT ON MLB EXPANSION - competing with Salt Lake City. No franchise, no stadium. WATCHLIST ONLY, do not build contacts.",__NO__,,,,
OR 217 auxiliary lane project,United States,us_west,"Beaverton / Tigard, OR",,,Highway / road,Widening / twinning,Main works / on site,New,ODOT,,,,,,,USD,,,,,,Unknown,Medium,Mass-concrete civils,,,Cure / Signal,Slabs / pavements,lawson,reed,TBD,,NEWS,https://www.opb.org/article/2025/08/05/oregon-interstate-5-205-bridges-highways-efforts-delays-costs-transportation/,,The ONLY Portland-area ODOT megaproject still described as on track. Widening in the western suburbs. Verify value and remaining scope.,__NO__,,,,
UO Tykeson Child Behavioral Health Building,United States,us_west,"NE Portland, OR",,,Education,New build,Groundbreaking / enabling works,New,University of Oregon,,,,,,83,USD,50-250M,,,,,Medium,Low,Schedule-critical vertical build,,,Cure / Signal,In-situ frame,lawson,reed,TBD,,NEWS,https://www.nextportland.com/,,$83m. Ballmer Institute for Children's Behavioral Health. Qualifies on value; modest concrete.,__NO__,,,,
PSU Schnitzer School of Art + Art History + Design,United States,us_west,"Portland, OR",,,Education,New build,Main works / on site,New,Portland State University,,,,,,,USD,,,,,,Unknown,Low,Schedule-critical vertical build,,,Cure / Signal,In-situ frame,lawson,reed,TBD,,NEWS,https://en.wikipedia.org/wiki/Schnitzer_School_of_Art_and_Art_History_and_Design,,Under construction since Sept 2024. Verify value; likely marginal.,__NO__,,,,
